01/02/2020,2020-02-21f,TX03,21078,C_000001,BBB1,8577,BBB1,8577,,,8,GLP,7.58,1.12,1.32,8.47,1.53,10,,,,,,CLIENTE GENERICO,GLL
,01-03-2020,1,19,99,BB03,47749,BB03,47749,0,,8,GLP,11.36,1.1186440678,1.32,12.7118644068,2.2881355932,15,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47750,BB03,47750,0,,8,GLP,3.79,1.1186440678,1.32,4.2372881356,0.7627118644,5,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47751,BB03,47751,0,,5,DIESEL B5 S50,1.596,10.6186440678,12.53,16.9491525424,3.0508474576,20,,,,,,,GLL
,01-03-2020,1,19,99,BB03,47752,BB03,47752,0,,2,GAS 90,4.17,10.1610169492,11.99,42.3728813559,7.6271186441,50,,,,,,,GLL
,01-03-2020,1,19,99,BB03,47753,BB03,47753,0,,8,GLP,26.48,1.1186440678,1.32,29.6271186441,5.3328813559,34.96,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47754,BB03,47754,0,,8,GLP,15.15,1.1186440678,1.32,16.9491525424,3.0508474576,20,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47755,BB03,47755,0,,8,GLP,32.97,1.1186440678,1.32,36.8813559322,6.6386440678,43.52,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47756,BB03,47756,0,,8,GLP,15.15,1.1186440678,1.32,16.9491525424,3.0508474576,20,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47757,BB03,47757,0,,8,GLP,22.73,1.1186440678,1.32,25.4237288136,4.5762711864,30,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47758,BB03,47758,0,,8,GLP,22.73,1.1186440678,1.32,25.4237288136,4.5762711864,30,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47759,BB03,47759,0,,8,GLP,15.95,1.1186440678,1.32,17.8474576271,3.2125423729,21.06,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47763,BB03,47763,0,,8,GLP,7.58,1.1186440678,1.32,8.4745762712,1.5254237288,10,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47764,BB03,47764,0,,8,GLP,9.09,1.1186440678,1.32,10.1694915254,1.8305084746,12,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47766,BB03,47766,0,,8,GLP,30.3,1.1186440678,1.32,33.8983050847,6.1016949153,40,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47767,BB03,47767,0,,8,GLP,22.73,1.1186440678,1.32,25.4237288136,4.5762711864,30,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47768,BB03,47768,0,,8,GLP,2.27,1.1186440678,1.32,2.5423728814,0.4576271186,3,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47769,BB03,47769,0,,8,GLP,22.73,1.1186440678,1.32,25.4237288136,4.5762711864,30,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47770,BB03,47770,0,,8,GLP,18.94,1.1186440678,1.32,21.186440678,3.813559322,25,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47771,BB03,47771,0,,8,GLP,7.58,1.1186440678,1.32,8.4745762712,1.5254237288,10,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47772,BB03,47772,0,,8,GLP,11.38,1.1186440678,1.32,12.7288135593,2.2911864407,15.02,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47773,BB03,47773,0,,8,GLP,22.73,1.1186440678,1.32,25.4237288136,4.5762711864,30,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47774,BB03,47774,0,,8,GLP,15.15,1.1186440678,1.32,16.9491525424,3.0508474576,20,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47775,BB03,47775,0,,8,GLP,22.73,1.1186440678,1.32,25.4237288136,4.5762711864,30,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47776,BB03,47776,0,,8,GLP,7.58,1.1186440678,1.32,8.4745762712,1.5254237288,10,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47777,BB03,47777,0,,8,GLP,3.79,1.1186440678,1.32,4.2372881356,0.7627118644,5,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47779,BB03,47779,0,,8,GLP,15.15,1.1186440678,1.32,16.9491525424,3.0508474576,20,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47780,BB03,47780,0,,8,GLP,2.27,1.1186440678,1.32,2.5423728814,0.4576271186,3,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47781,BB03,47781,0,,8,GLP,6.06,1.1186440678,1.32,6.7796610169,1.2203389831,8,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47782,BB03,47782,0,,8,GLP,4.92,1.1186440678,1.32,5.5084745763,0.9915254237,6.5,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47783,BB03,47783,0,,8,GLP,8.25,1.1186440678,1.32,9.2288135593,1.6611864407,10.89,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47784,BB03,47784,0,,8,GLP,7.58,1.1186440678,1.32,8.4745762712,1.5254237288,10,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47786,BB03,47786,0,,4,GAS 98,2.144,11.8559322034,13.99,25.4237288136,4.5762711864,30,,,,,,,GLL
,01-03-2020,2,12,99,BB03,47787,BB03,47787,0,,2,GAS 90,4.17,10.1610169492,11.99,42.3728813559,7.6271186441,50,,,,,,,GLL
,01-03-2020,2,12,99,BB03,47788,BB03,47788,0,,8,GLP,22.73,1.1186440678,1.32,25.4237288136,4.5762711864,30,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47789,BB03,47789,0,,3,GAS 95,0.465,10.9322033898,12.9,5.0847457627,0.9152542373,6,,,,,,,GLL
,01-03-2020,2,12,99,BB03,47790,BB03,47790,0,,8,GLP,11.36,1.1186440678,1.32,12.7118644068,2.2881355932,15,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47791,BB03,47791,0,,8,GLP,16.33,1.1186440678,1.32,18.2627118644,3.2872881356,21.55,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47792,BB03,47792,0,,8,GLP,15.15,1.1186440678,1.32,16.9491525424,3.0508474576,20,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47793,BB03,47793,0,,8,GLP,7.58,1.1186440678,1.32,8.4745762712,1.5254237288,10,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47794,BB03,47794,0,,8,GLP,3.03,1.1186440678,1.32,3.3898305085,0.6101694915,4,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47795,BB03,47795,0,,8,GLP,14.79,1.1186440678,1.32,16.5423728814,2.9776271186,19.52,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47796,BB03,47796,0,,8,GLP,13.11,1.1186440678,1.32,14.6610169492,2.6389830508,17.3,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47797,BB03,47797,0,,8,GLP,7.58,1.1186440678,1.32,8.4745762712,1.5254237288,10,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47798,BB03,47798,0,,8,GLP,15.15,1.1186440678,1.32,16.9491525424,3.0508474576,20,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47799,BB03,47799,0,,8,GLP,15.15,1.1186440678,1.32,16.9491525424,3.0508474576,20,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47801,BB03,47801,0,,8,GLP,20.91,1.1186440678,1.32,23.3898305085,4.2101694915,27.6,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47802,BB03,47802,0,,8,GLP,7.58,1.1186440678,1.32,8.4745762712,1.5254237288,10,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47803,BB03,47803,0,,8,GLP,3.79,1.1186440678,1.32,4.2372881356,0.7627118644,5,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47804,BB03,47804,0,,8,GLP,9.09,1.1186440678,1.32,10.1694915254,1.8305084746,12,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47806,BB03,47806,0,,8,GLP,15.15,1.1186440678,1.32,16.9491525424,3.0508474576,20,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47807,BB03,47807,0,,8,GLP,11.36,1.1186440678,1.32,12.7118644068,2.2881355932,15,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47808,BB03,47808,0,,8,GLP,22.73,1.1186440678,1.32,25.4237288136,4.5762711864,30,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47811,BB03,47811,0,,2,GAS 90,2.085,10.1610169492,11.99,21.186440678,3.813559322,25,,,,,,,GLL
,01-03-2020,2,12,99,BB03,47812,BB03,47812,0,,8,GLP,19.89,1.1186440678,1.32,22.2542372881,4.0057627119,26.26,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47814,BB03,47814,0,,8,GLP,7.45,1.1186440678,1.32,8.3389830508,1.5010169492,9.84,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47815,BB03,47815,0,,8,GLP,22.73,1.1186440678,1.32,25.4237288136,4.5762711864,30,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47816,BB03,47816,0,,8,GLP,3.79,1.1186440678,1.32,4.2372881356,0.7627118644,5,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47817,BB03,47817,0,,8,GLP,4.55,1.1186440678,1.32,5.0847457627,0.9152542373,6,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47819,BB03,47819,0,,8,GLP,2.27,1.1186440678,1.32,2.5423728814,0.4576271186,3,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47820,BB03,47820,0,,8,GLP,3.79,1.1186440678,1.32,4.2372881356,0.7627118644,5,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47821,BB03,47821,0,,8,GLP,11.36,1.1186440678,1.32,12.7118644068,2.2881355932,15,,,,,,,LTR
,01-03-2020,2,12,99,BB03,47822,BB03,47822,0,,8,GLP,15.15,1.1186440678,1.32,16.9491525424,3.0508474576,20,,,,,,,LTR
,01-03-2020,3,17,99,BB03,47824,BB03,47824,0,,8,GLP,7.58,1.1186440678,1.32,8.4745762712,1.5254237288,10,,,,,,,LTR
,01-03-2020,3,17,99,BB03,47825,BB03,47825,0,,8,GLP,7.58,1.1186440678,1.32,8.4745762712,1.5254237288,10,,,,,,,LTR
,01-03-2020,3,17,99,BB03,47826,BB03,47826,0,,8,GLP,7.58,1.1186440678,1.32,8.4745762712,1.5254237288,10,,,,,,,LTR
,01-03-2020,3,17,99,BB03,47828,BB03,47828,0,,8,GLP,11.69,1.1186440678,1.32,13.0762711864,2.3537288136,15.43,,,,,,,LTR
,01-03-2020,3,17,99,BB03,47829,BB03,47829,0,,8,GLP,15.19,1.1186440678,1.32,16.9915254237,3.0584745763,20.05,,,,,,,LTR
,01-03-2020,3,17,99,BB03,47830,BB03,47830,0,,4,GAS 98,1.43,11.8559322034,13.99,16.9491525424,3.0508474576,20,,,,,,,GLL
,01-03-2020,3,17,99,BB03,47831,BB03,47831,0,,8,GLP,3.79,1.1186440678,1.32,4.2372881356,0.7627118644,5,,,,,,,LTR
,01-03-2020,3,17,99,BB03,47832,BB03,47832,0,,8,GLP,2.27,1.1186440678,1.32,2.5423728814,0.4576271186,3,,,,,,,LTR
,01-03-2020,3,17,99,BB03,47833,BB03,47833,0,,8,GLP,36.25,1.1186440678,1.32,40.5508474576,7.2991525424,47.85,,,,,,,LTR
,01-03-2020,3,17,99,BB03,47834,BB03,47834,0,,8,GLP,8.08,1.1186440678,1.32,9.0338983051,1.6261016949,10.66,,,,,,,LTR
,01-03-2020,3,17,99,BB03,47835,BB03,47835,0,,8,GLP,3.79,1.1186440678,1.32,4.2372881356,0.7627118644,5,,,,,,,LTR
,01-03-2020,3,17,99,BB03,47836,BB03,47836,0,,8,GLP,22.73,1.1186440678,1.32,25.4237288136,4.5762711864,30,,,,,,,LTR
,01-03-2020,1,13,99,BB02,15447,BB02,15447,0,,2,GAS 90,0.001,10.1610169492,11.99,0.0084745763,0.0015254237,0.01,,,,,,,GLL
,01-03-2020,1,13,99,BB02,15452,BB02,15452,0,,2,GAS 90,1,10.1610169492,11.99,10.1610169492,1.8289830508,11.99,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15463,BB02,15463,0,,2,GAS 90,0.667,10.1610169492,11.99,6.7796610169,1.2203389831,8,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15466,BB02,15466,0,,2,GAS 90,0.417,10.1610169492,11.99,4.2372881356,0.7627118644,5,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15467,BB02,15467,0,,2,GAS 90,0.417,10.1610169492,11.99,4.2372881356,0.7627118644,5,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15468,BB02,15468,0,,5,DIESEL B5 S50,1.596,10.6186440678,12.53,16.9491525424,3.0508474576,20,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15469,BB02,15469,0,,4,GAS 98,5.008,11.8559322034,13.99,59.3728813559,10.6871186441,70.06,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15471,BB02,15471,0,,5,DIESEL B5 S50,2.394,10.6186440678,12.53,25.4237288136,4.5762711864,30,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15473,BB02,15473,0,,5,DIESEL B5 S50,2.394,10.6186440678,12.53,25.4237288136,4.5762711864,30,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15476,BB02,15476,0,,5,DIESEL B5 S50,7.183,10.6186440678,12.53,76.2711864407,13.7288135593,90,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15477,BB02,15477,0,,3,GAS 95,1.55,10.9322033898,12.9,16.9491525424,3.0508474576,20,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15480,BB02,15480,0,,3,GAS 95,1.55,10.9322033898,12.9,16.9491525424,3.0508474576,20,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15481,BB02,15481,0,,5,DIESEL B5 S50,3.99,10.6186440678,12.53,42.3728813559,7.6271186441,50,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15482,BB02,15482,0,,3,GAS 95,1.163,10.9322033898,12.9,12.7118644068,2.2881355932,15,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15483,BB02,15483,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15484,BB02,15484,0,,3,GAS 95,2,10.9322033898,12.9,21.8644067797,3.9355932203,25.8,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15486,BB02,15486,0,,2,GAS 90,2.502,10.1610169492,11.99,25.4237288136,4.5762711864,30,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15487,BB02,15487,0,,2,GAS 90,0.417,10.1610169492,11.99,4.2372881356,0.7627118644,5,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15488,BB02,15488,0,,5,DIESEL B5 S50,4.549,10.6186440678,12.53,48.3050847458,8.6949152542,57,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15489,BB02,15489,0,,3,GAS 95,2.326,10.9322033898,12.9,25.4237288136,4.5762711864,30,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15490,BB02,15490,0,,2,GAS 90,0.834,10.1610169492,11.99,8.4745762712,1.5254237288,10,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15491,BB02,15491,0,,4,GAS 98,10.727,11.8559322034,13.99,127.1779661017,22.8920338983,150.07,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15492,BB02,15492,0,,2,GAS 90,0.417,10.1610169492,11.99,4.2372881356,0.7627118644,5,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15494,BB02,15494,0,,2,GAS 90,2.502,10.1610169492,11.99,25.4237288136,4.5762711864,30,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15495,BB02,15495,0,,3,GAS 95,0.775,10.9322033898,12.9,8.4745762712,1.5254237288,10,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15497,BB02,15497,0,,2,GAS 90,0.417,10.1610169492,11.99,4.2372881356,0.7627118644,5,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15498,BB02,15498,0,,5,DIESEL B5 S50,0.399,10.6186440678,12.53,4.2372881356,0.7627118644,5,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15499,BB02,15499,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
,01-03-2020,3,15,99,BB02,15501,BB02,15501,0,,2,GAS 90,1,10.1610169492,11.99,10.1610169492,1.8289830508,11.99,,,,,,,GLL
,01-03-2020,1,13,99,BB02,15447,BB02,15447,0,,2,GAS 90,0.001,10.1610169492,11.99,0.0084745763,0.0015254237,0.01,,,,,,,GLL
,01-03-2020,1,13,99,BB02,15452,BB02,15452,0,,2,GAS 90,1,10.1610169492,11.99,10.1610169492,1.8289830508,11.99,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15463,BB02,15463,0,,2,GAS 90,0.667,10.1610169492,11.99,6.7796610169,1.2203389831,8,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15466,BB02,15466,0,,2,GAS 90,0.417,10.1610169492,11.99,4.2372881356,0.7627118644,5,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15467,BB02,15467,0,,2,GAS 90,0.417,10.1610169492,11.99,4.2372881356,0.7627118644,5,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15468,BB02,15468,0,,5,DIESEL B5 S50,1.596,10.6186440678,12.53,16.9491525424,3.0508474576,20,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15469,BB02,15469,0,,4,GAS 98,5.008,11.8559322034,13.99,59.3728813559,10.6871186441,70.06,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15471,BB02,15471,0,,5,DIESEL B5 S50,2.394,10.6186440678,12.53,25.4237288136,4.5762711864,30,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15473,BB02,15473,0,,5,DIESEL B5 S50,2.394,10.6186440678,12.53,25.4237288136,4.5762711864,30,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15476,BB02,15476,0,,5,DIESEL B5 S50,7.183,10.6186440678,12.53,76.2711864407,13.7288135593,90,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15477,BB02,15477,0,,3,GAS 95,1.55,10.9322033898,12.9,16.9491525424,3.0508474576,20,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15480,BB02,15480,0,,3,GAS 95,1.55,10.9322033898,12.9,16.9491525424,3.0508474576,20,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15481,BB02,15481,0,,5,DIESEL B5 S50,3.99,10.6186440678,12.53,42.3728813559,7.6271186441,50,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15482,BB02,15482,0,,3,GAS 95,1.163,10.9322033898,12.9,12.7118644068,2.2881355932,15,,,,,,,GLL
,01-03-2020,2,16,99,BB02,15483,BB02,15483,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
