01/02/2020,2020-02-21f,TX03,21078,C_000001,serie,numero,BBB1,8577,,,8,GLP,7.58,1.12,1.32,8.47,1.53,10,,,,,,CLIENTE GENERICO,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15505,BB02,15505,0,,5,DIESEL B5 S50,11.971,10.6186440678,12.53,127.1186440678,22.8813559322,150,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15505,BB02,15505,0,,5,DIESEL B5 S50,11.971,10.6186440678,12.53,127.1186440678,22.8813559322,150,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15506,BB02,15506,0,,2,GAS 90,0.834,10.1610169492,11.99,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15506,BB02,15506,0,,2,GAS 90,0.834,10.1610169492,11.99,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15507,BB02,15507,0,,5,DIESEL B5 S50,1.197,10.6186440678,12.53,12.7118644068,2.2881355932,15,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15507,BB02,15507,0,,5,DIESEL B5 S50,1.197,10.6186440678,12.53,12.7118644068,2.2881355932,15,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15508,BB02,15508,0,,2,GAS 90,0.417,10.1610169492,11.99,4.2372881356,0.7627118644,5,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15508,BB02,15508,0,,2,GAS 90,0.417,10.1610169492,11.99,4.2372881356,0.7627118644,5,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15509,BB02,15509,0,,2,GAS 90,4.17,10.1610169492,11.99,42.3728813559,7.6271186441,50,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15509,BB02,15509,0,,2,GAS 90,4.17,10.1610169492,11.99,42.3728813559,7.6271186441,50,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15510,BB02,15510,0,,2,GAS 90,0.584,10.1610169492,11.99,5.9322033898,1.0677966102,7,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15510,BB02,15510,0,,2,GAS 90,0.584,10.1610169492,11.99,5.9322033898,1.0677966102,7,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15511,BB02,15511,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15511,BB02,15511,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15515,BB02,15515,0,,2,GAS 90,0.417,10.1610169492,11.99,4.2372881356,0.7627118644,5,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15515,BB02,15515,0,,2,GAS 90,0.417,10.1610169492,11.99,4.2372881356,0.7627118644,5,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15516,BB02,15516,0,,2,GAS 90,0.377,10.1610169492,11.99,3.8305084746,0.6894915254,4.52,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15516,BB02,15516,0,,2,GAS 90,0.377,10.1610169492,11.99,3.8305084746,0.6894915254,4.52,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15517,BB02,15517,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15517,BB02,15517,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15520,BB02,15520,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15520,BB02,15520,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15521,BB02,15521,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15521,BB02,15521,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15522,BB02,15522,0,,4,GAS 98,1.43,11.8559322034,13.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15522,BB02,15522,0,,4,GAS 98,1.43,11.8559322034,13.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15523,BB02,15523,0,,3,GAS 95,1.55,10.9322033898,12.9,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15523,BB02,15523,0,,3,GAS 95,1.55,10.9322033898,12.9,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15525,BB02,15525,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15525,BB02,15525,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15526,BB02,15526,0,,5,DIESEL B5 S50,0.399,10.6186440678,12.53,4.2372881356,0.7627118644,5,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15526,BB02,15526,0,,5,DIESEL B5 S50,0.399,10.6186440678,12.53,4.2372881356,0.7627118644,5,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15527,BB02,15527,0,,3,GAS 95,0.775,10.9322033898,12.9,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15527,BB02,15527,0,,3,GAS 95,0.775,10.9322033898,12.9,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15529,BB02,15529,0,,5,DIESEL B5 S50,1,10.6186440678,12.53,10.6186440678,1.9113559322,12.53,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15529,BB02,15529,0,,5,DIESEL B5 S50,1,10.6186440678,12.53,10.6186440678,1.9113559322,12.53,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15530,BB02,15530,0,,3,GAS 95,3.876,10.9322033898,12.9,42.3728813559,7.6271186441,50,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15530,BB02,15530,0,,3,GAS 95,3.876,10.9322033898,12.9,42.3728813559,7.6271186441,50,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15531,BB02,15531,0,,2,GAS 90,1.001,10.1610169492,11.99,10.1694915254,1.8305084746,12,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15531,BB02,15531,0,,2,GAS 90,1.001,10.1610169492,11.99,10.1694915254,1.8305084746,12,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15540,BB02,15540,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15540,BB02,15540,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15541,BB02,15541,0,,2,GAS 90,0.834,10.1610169492,11.99,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15541,BB02,15541,0,,2,GAS 90,0.834,10.1610169492,11.99,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15542,BB02,15542,0,,2,GAS 90,0.834,10.1610169492,11.99,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15542,BB02,15542,0,,2,GAS 90,0.834,10.1610169492,11.99,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15545,BB02,15545,0,,3,GAS 95,0.465,10.9322033898,12.9,5.0847457627,0.9152542373,6,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15545,BB02,15545,0,,3,GAS 95,0.465,10.9322033898,12.9,5.0847457627,0.9152542373,6,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15547,BB02,15547,0,,3,GAS 95,2.326,10.9322033898,12.9,25.4237288136,4.5762711864,30,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15547,BB02,15547,0,,3,GAS 95,2.326,10.9322033898,12.9,25.4237288136,4.5762711864,30,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15548,BB02,15548,0,,4,GAS 98,1.43,11.8559322034,13.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15548,BB02,15548,0,,4,GAS 98,1.43,11.8559322034,13.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15549,BB02,15549,0,,3,GAS 95,3.876,10.9322033898,12.9,42.3728813559,7.6271186441,50,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15549,BB02,15549,0,,3,GAS 95,3.876,10.9322033898,12.9,42.3728813559,7.6271186441,50,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15550,BB02,15550,0,,2,GAS 90,0.003,10.1610169492,11.99,0.0338983051,0.0061016949,0.04,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15550,BB02,15550,0,,2,GAS 90,0.003,10.1610169492,11.99,0.0338983051,0.0061016949,0.04,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15552,BB02,15552,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15552,BB02,15552,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15553,BB02,15553,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15553,BB02,15553,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15554,BB02,15554,0,,2,GAS 90,0.834,10.1610169492,11.99,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15554,BB02,15554,0,,2,GAS 90,0.834,10.1610169492,11.99,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15555,BB02,15555,0,,2,GAS 90,0.417,10.1610169492,11.99,4.2372881356,0.7627118644,5,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15555,BB02,15555,0,,2,GAS 90,0.417,10.1610169492,11.99,4.2372881356,0.7627118644,5,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15561,BB02,15561,0,,3,GAS 95,3.876,10.9322033898,12.9,42.3728813559,7.6271186441,50,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15561,BB02,15561,0,,3,GAS 95,3.876,10.9322033898,12.9,42.3728813559,7.6271186441,50,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15562,BB02,15562,0,,3,GAS 95,0.775,10.9322033898,12.9,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15562,BB02,15562,0,,3,GAS 95,0.775,10.9322033898,12.9,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15563,BB02,15563,0,,5,DIESEL B5 S50,0.001,10.6186440678,12.53,0.0084745763,0.0015254237,0.01,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15563,BB02,15563,0,,5,DIESEL B5 S50,0.001,10.6186440678,12.53,0.0084745763,0.0015254237,0.01,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15564,BB02,15564,0,,5,DIESEL B5 S50,1.596,10.6186440678,12.53,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15564,BB02,15564,0,,5,DIESEL B5 S50,1.596,10.6186440678,12.53,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15565,BB02,15565,0,,2,GAS 90,2.502,10.1610169492,11.99,25.4237288136,4.5762711864,30,,,,,,,GLL
3-04-0--20,2020-03-04,2,9,99,BB02,15565,BB02,15565,0,,2,GAS 90,2.502,10.1610169492,11.99,25.4237288136,4.5762711864,30,,,,,,,GLL
3-04-0--20,2020-03-04,3,12,99,BB02,15567,BB02,15567,0,,2,GAS 90,0.417,10.1610169492,11.99,4.2372881356,0.7627118644,5,,,,,,,GLL
3-04-0--20,2020-03-04,3,12,99,BB02,15567,BB02,15567,0,,2,GAS 90,0.417,10.1610169492,11.99,4.2372881356,0.7627118644,5,,,,,,,GLL
3-04-0--20,2020-03-04,1,13,99,BB02,15569,BB02,15569,0,,3,GAS 95,1.55,10.9322033898,12.9,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,1,13,99,BB02,15569,BB02,15569,0,,3,GAS 95,1.55,10.9322033898,12.9,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,1,13,99,BB02,15571,BB02,15571,0,,2,GAS 90,0.834,10.1610169492,11.99,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,1,13,99,BB02,15571,BB02,15571,0,,2,GAS 90,0.834,10.1610169492,11.99,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,1,13,99,BB02,15577,BB02,15577,0,,5,DIESEL B5 S50,3.192,10.6186440678,12.53,33.8983050847,6.1016949153,40,,,,,,,GLL
3-04-0--20,2020-03-04,1,13,99,BB02,15577,BB02,15577,0,,5,DIESEL B5 S50,3.192,10.6186440678,12.53,33.8983050847,6.1016949153,40,,,,,,,GLL
3-04-0--20,2020-03-04,1,13,99,BB02,15580,BB02,15580,0,,2,GAS 90,0.834,10.1610169492,11.99,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,1,13,99,BB02,15580,BB02,15580,0,,2,GAS 90,0.834,10.1610169492,11.99,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,1,13,99,BB02,15581,BB02,15581,0,,2,GAS 90,0.584,10.1610169492,11.99,5.9322033898,1.0677966102,7,,,,,,,GLL
3-04-0--20,2020-03-04,1,13,99,BB02,15581,BB02,15581,0,,2,GAS 90,0.584,10.1610169492,11.99,5.9322033898,1.0677966102,7,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15583,BB02,15583,0,,5,DIESEL B5 S50,0.798,10.6186440678,12.53,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15583,BB02,15583,0,,5,DIESEL B5 S50,0.798,10.6186440678,12.53,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15584,BB02,15584,0,,2,GAS 90,0.834,10.1610169492,11.99,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15584,BB02,15584,0,,2,GAS 90,0.834,10.1610169492,11.99,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15585,BB02,15585,0,,5,DIESEL B5 S50,2.394,10.6186440678,12.53,25.4237288136,4.5762711864,30,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15585,BB02,15585,0,,5,DIESEL B5 S50,2.394,10.6186440678,12.53,25.4237288136,4.5762711864,30,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15586,BB02,15586,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15586,BB02,15586,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15593,BB02,15593,0,,3,GAS 95,0.775,10.9322033898,12.9,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15593,BB02,15593,0,,3,GAS 95,0.775,10.9322033898,12.9,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15594,BB02,15594,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15594,BB02,15594,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15595,BB02,15595,0,,2,GAS 90,0.417,10.1610169492,11.99,4.2372881356,0.7627118644,5,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15595,BB02,15595,0,,2,GAS 90,0.417,10.1610169492,11.99,4.2372881356,0.7627118644,5,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15596,BB02,15596,0,,2,GAS 90,1.667,10.1610169492,11.99,16.9406779661,3.0493220339,19.99,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15596,BB02,15596,0,,2,GAS 90,1.667,10.1610169492,11.99,16.9406779661,3.0493220339,19.99,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15598,BB02,15598,0,,2,GAS 90,0.417,10.1610169492,11.99,4.2372881356,0.7627118644,5,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15598,BB02,15598,0,,2,GAS 90,0.417,10.1610169492,11.99,4.2372881356,0.7627118644,5,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15599,BB02,15599,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15599,BB02,15599,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15603,BB02,15603,0,,2,GAS 90,0.334,10.1610169492,11.99,3.3898305085,0.6101694915,4,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15603,BB02,15603,0,,2,GAS 90,0.334,10.1610169492,11.99,3.3898305085,0.6101694915,4,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15604,BB02,15604,0,,2,GAS 90,0.751,10.1610169492,11.99,7.6271186441,1.3728813559,9,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15604,BB02,15604,0,,2,GAS 90,0.751,10.1610169492,11.99,7.6271186441,1.3728813559,9,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15605,BB02,15605,0,,2,GAS 90,0.417,10.1610169492,11.99,4.2372881356,0.7627118644,5,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15605,BB02,15605,0,,2,GAS 90,0.417,10.1610169492,11.99,4.2372881356,0.7627118644,5,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15612,BB02,15612,0,,3,GAS 95,2.326,10.9322033898,12.9,25.4237288136,4.5762711864,30,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15612,BB02,15612,0,,3,GAS 95,2.326,10.9322033898,12.9,25.4237288136,4.5762711864,30,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15615,BB02,15615,0,,2,GAS 90,2.502,10.1610169492,11.99,25.4237288136,4.5762711864,30,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15615,BB02,15615,0,,2,GAS 90,2.502,10.1610169492,11.99,25.4237288136,4.5762711864,30,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15616,BB02,15616,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,2,16,99,BB02,15616,BB02,15616,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,2,12,99,BB02,15617,BB02,15617,0,,3,GAS 95,7.752,10.9322033898,12.9,84.7457627119,15.2542372881,100,,,,,,,GLL
3-04-0--20,2020-03-04,2,12,99,BB02,15617,BB02,15617,0,,3,GAS 95,7.752,10.9322033898,12.9,84.7457627119,15.2542372881,100,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15618,BB02,15618,0,,3,GAS 95,2.326,10.9322033898,12.9,25.4237288136,4.5762711864,30,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15618,BB02,15618,0,,3,GAS 95,2.326,10.9322033898,12.9,25.4237288136,4.5762711864,30,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15619,BB02,15619,0,,2,GAS 90,0.834,10.1610169492,11.99,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15619,BB02,15619,0,,2,GAS 90,0.834,10.1610169492,11.99,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15620,BB02,15620,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15620,BB02,15620,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15624,BB02,15624,0,,2,GAS 90,0.417,10.1610169492,11.99,4.2372881356,0.7627118644,5,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15624,BB02,15624,0,,2,GAS 90,0.417,10.1610169492,11.99,4.2372881356,0.7627118644,5,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15625,BB02,15625,0,,2,GAS 90,0.834,10.1610169492,11.99,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15625,BB02,15625,0,,2,GAS 90,0.834,10.1610169492,11.99,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15627,BB02,15627,0,,5,DIESEL B5 S50,1.178,10.6186440678,12.53,12.5084745763,2.2515254237,14.76,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15627,BB02,15627,0,,5,DIESEL B5 S50,1.178,10.6186440678,12.53,12.5084745763,2.2515254237,14.76,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15630,BB02,15630,0,,5,DIESEL B5 S50,0.798,10.6186440678,12.53,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15630,BB02,15630,0,,5,DIESEL B5 S50,0.798,10.6186440678,12.53,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15631,BB02,15631,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15631,BB02,15631,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15633,BB02,15633,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15633,BB02,15633,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15634,BB02,15634,0,,3,GAS 95,0.775,10.9322033898,12.9,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15634,BB02,15634,0,,3,GAS 95,0.775,10.9322033898,12.9,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15635,BB02,15635,0,,3,GAS 95,1.55,10.9322033898,12.9,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15635,BB02,15635,0,,3,GAS 95,1.55,10.9322033898,12.9,16.9491525424,3.0508474576,20,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15636,BB02,15636,0,,3,GAS 95,2.326,10.9322033898,12.9,25.4237288136,4.5762711864,30,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15636,BB02,15636,0,,3,GAS 95,2.326,10.9322033898,12.9,25.4237288136,4.5762711864,30,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15637,BB02,15637,0,,5,DIESEL B5 S50,3.192,10.6186440678,12.53,33.8983050847,6.1016949153,40,,,,,,,GLL
3-04-0--20,2020-03-04,3,19,99,BB02,15637,BB02,15637,0,,5,DIESEL B5 S50,3.192,10.6186440678,12.53,33.8983050847,6.1016949153,40,,,,,,,GLL
